Title,Price
LAPTOP Lenovo Thinkpad X230 Core i5 3rd Gen 4GB RAM 250GB 12.5″ Windows 10 (Free Laptop Bag) - Daraz Like New Laptops,"Rs. 26,567"
HP Stream 13-c110nr 13.3 Laptop Intel N3050 1.6GHz 2GB 32GB SSD Windows 10,"Rs. 15,999"
HP 640G3 - Core i5 7th Generation - 8GB RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG (Windows 11 Licensed) - Daraz like new laptops,"Rs. 34,085"
"Dell Chromebook 11, Intel Celeron-N2840 Proc, 4GB RAM DDR3L Memory, 16GB eMMC SSD Storage, WINDOWS 10, CHROME OS ,Black","Rs. 8,676"
Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Registered) - Daraz like new laptops,"Rs. 37,583"
Dell Chromebook 11 3180 - 4GB RAM - 16GB SSD (FREE LAPTOP BAG) - Daraz like new laptops,"Rs. 10,205"
Acer C740 ChromeBook Laptop - 2gb / 16gb - With Play Store - Longer Battery Life,"Rs. 9,805"
Daraz Like New Laptops - Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported -,"Rs. 8,999"
"Dell Latitude 5430, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LAPTOP BAG - Daraz Like New Laptops","Rs. 25,999"
"Daraz Like New Dell Latitude E5420 , Core i5 2nd generation, 8GB DDR3 Ram, 256GB SSD Drive, 14.1"" Led Display, Intel HD Graphics","Rs. 23,999"
"USED - Lenovo ThinkPad T430, Core i5 3rd generation, 8GB DDR3 Ram, 500GB Hard Drive, 14.1"" Led Display, Intel HD Graphics - Daraz like new laptops","Rs. 23,459"
"Dell 3189 Convertible Chromebook Touchscreen 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG","Rs. 15,999"
Acer | C740 | 128GB Storage | 4GB RAM | Windows 10 / 11.6″ Display | Play Store Supported | Android Apps Supported | Chromebook - FREE LAPTOP BAG,"Rs. 15,999"
"Hp Chromebook 11 G6 EE | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" screen - Daraz Like New Laptops","Rs. 9,999"
Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported - Daraz Like New Laptops,"Rs. 8,605"
Daraz Like New Laptops - Lenovo Chromebook 100E Intel Celeron 4GB RAM 16GB Chrome OS,"Rs. 12,999"
"Dell Latitude E5470 14 inch ""Laptop, 2.4GHz Core i5-6300U, 8GB RAM, 256GB SSD, Windows 10 Pro 64-bit","Rs. 41,999"
"HP ProBook 11 G2 , Core i3 6th Generation, 8GB DDR4 Ram, 500GB Hard Drive, 11.1"" Led Display, Intel HD Graphics - Daraz Like New Laptops","Rs. 27,999"
"Acer Predator Helios 18 PH18-72-94LC Gaming Laptop 14th Gen Core i9-14900HX, 64GB DDR5, 2TB SSD, NVIDIA RTX 4090 16GB Graphics, 18"" WQXGA IPS 250Hz, Windows 11 Home","Rs. 999,999"
Used Chromebook Laptop 11-3120 P22T 11.6 Inches Intel Celeron N2840 2.16GHz  4GB RAM 16GB SSD Chrome OS with Charger,"Rs. 10,499"
Dell Latitude E7470 - Core i5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 14inch HD Screen - FREE LAPTOP BAG,"Rs. 43,999"
Lenovo Thinkpad X240 - Core i5 4th Generation - 8GB RAM - 500GB HDD - 12.5inches Screen - FREE LAPTOP BAG,"Rs. 28,999"
"Daraz Like New Laptops - HP EliteBook 840 G3 Core i5 6th Gen/8GB/256GB SSD/14"" LED","Rs. 52,487"
HP - EliteBook 840G5 - CORE I5 8TH GENERATION- 16GB RAM - 256GB SSD - Windows® 10 Activated - FREE LAPTOP BAG,"Rs. 72,999"
